,doc_url,name,bulletin,topic,commission
417_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-27-874-Derecho-de-personas-autistas-a-recibir-terapias.pdf,Iniciativa Popular Constituyente sobre derecho de las personas con condición del espectro autista a recibir terapias (874),Boletín 27-4 Popular,Derecho a terapia personas autistas,Comisión de Derechos Fundamentales
419_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-25-11.402-Consagra-y-garantiza-derechos-de-ninos-ninas-y-adolescentes.pdf,"Iniciativa Popular Constituyente que consagra derechos de los que son titulares los niños, niñas y adolescentes (11402)",Boletín 25-4 Popular,"Derechos niños, niñas y adolescentes",Comisión de Derechos Fundamentales
422_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-22-43.538-Exige-consentimiento-libre-e-informadoprevio-a-toda-accion-medica-o-de-salud.pdf,Iniciativa Popular Constituyente que consagra el derecho al consentimiento libre e informado antes de un tratamiento médico o vacunación (43538),Boletín 22-4 Popular,Derecho al consentimiento , Comisión de Derechos Fundamentales
424_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-20-71.442-Garantia-de-respeto-por-los-DDHH-por-parte-del-Presidente-de-la-Republica.pdf,Iniciativa Popular Constituyente sobre garantía de respeto de los DDHH por parte del Presidente de la República (71442),Boletín 20-6 Popular,Respeto DDHH por parte Presidente de la República,Comisión sobre Sistemas de Justicia
421_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-23-36.582-Derecho-a-una-educacion-publica-gratruita-laica-y-de-calidad.pdf,Iniciativa Popular Constituyente que consagra el derecho a la educación (36582),Boletín 23-4 Popular,Derecho a la educación,Comisión de Derechos Fundamentales
423_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-21-55.950-Gestion-ambiental-estatal-centrada-en-la-proteccion-y-reparacion-del-dano-ambiental.pdf,Iniciativa Popular Constituyente que garantiza el acceso a la justicia socioambiental y a la gestión ambiental descentralizada (55950),Boletín 21-5 Popular,Justicia socioambiental,Comisión sobre Medio Ambiente
532_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-19-5.pdf,Iniciativa Popular Constituyente que reconoce a los animales no humanos como sujetos de derecho (N°3694),Boletín 19-5 Popular,Animales como sujetos de derechos,Comisión sobre Medio Ambiente
534_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-17-4.pdf,Iniciativa Popular Constituyente sobre derecho a la seguridad social (N°4758),Boletín N° 17-4 Popular,Derecho a seguridad social,Comisión de Derechos Fundamentales
536_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-15-4.pdf,Iniciativa Popular Constituyente sobre derecho a la educación plurinacional pública y comunitaria (N°10898),Boletín 15-4 Popular,Derecho a educación plurinacional,Comisión de Derechos Fundamentales
538_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-13-3.pdf,Iniciativa Popular Constituyente que establece nuevas regiones de Chiloé y Aconcagua (N°6466),Boletín 13-3 Popular,Regiones Chiloé y Aconcagua,Comisión sobre Forma de Estado
